1788467743,2:0:430,3:0:430,4:0:402,5:0:430
1788467744,2:0:430,3:0:430,4:0:430,5:0:430
1788467745,2:0:430,3:0:430,4:0:430,5:0:430
1788467747,2:0:430,3:0:430,4:0:430,5:0:430
1788467748,2:0:430,3:0:430,4:0:430,5:0:430
1788467749,2:100:1710,3:0:1068,4:0:430,5:100:1710
1788467751,2:0:2810,3:0:2810,4:97:2810,5:18:2810
1788467752,2:0:2810,3:0:2810,4:0:2810,5:0:2810
1788467753,2:0:2810,3:0:2810,4:0:2810,5:0:2810
1788467755,2:0:2810,3:0:2810,4:0:2810,5:0:2810
1788467756,2:0:2810,3:0:2810,4:0:2810,5:0:2810
1788467757,2:0:2810,3:0:2810,4:0:2810,5:0:2810
1788467758,2:0:2810,3:0:2810,4:0:2810,5:0:2810
1788467760,2:0:2810,3:0:2810,4:0:2810,5:0:2810
1788467761,2:0:2810,3:0:2810,4:0:2810,5:0:2810
1788467763,2:0:2810,3:0:2810,4:0:2810,5:0:2810
1788467764,2:0:2810,3:0:2810,4:0:2810,5:0:2810
1788467766,2:0:2810,3:0:2810,4:0:2810,5:0:2810
1788467767,2:0:2810,3:0:2810,4:0:2810,5:0:2810
1788467769,2:0:2810,3:0:2810,4:0:2810,5:0:2810
1788467771,2:0:2810,3:0:2810,4:0:2810,5:0:2810
1788467772,2:0:2810,3:0:2810,4:0:2810,5:0:2810
1788467774,2:0:2810,3:0:2810,4:0:2810,5:0:2810
1788467776,2:0:2810,3:0:2810,4:0:2810,5:0:2810
1788467778,2:0:2810,3:0:2810,4:0:2810,5:0:2810
1788467780,2:0:2810,3:0:2810,4:0:2810,5:0:2810
1788467781,2:0:2810,3:0:2810,4:0:2810,5:0:2810
1788467783,2:0:2810,3:0:2810,4:0:2810,5:0:2810
1788467785,2:0:2810,3:0:2810,4:0:2810,5:0:2810
1788467787,2:0:2810,3:0:2810,4:0:2810,5:0:2810
1788467789,2:0:2810,3:0:2810,4:0:2810,5:0:2810
1788467791,2:0:2810,3:0:2810,4:0:2810,5:0:2810
1788467793,2:0:2810,3:0:2810,4:0:2810,5:0:2810
1788467795,2:0:2810,3:100:2850,4:0:2810,5:0:2810
1788467796,2:0:2810,3:100:2850,4:0:2810,5:100:2864
1788467798,2:53:20862,3:56:21238,4:0:2810,5:100:2864
1788467799,2:65:23552,3:100:23552,4:13:20862,5:97:21238
1788467801,2:3:23552,3:100:23552,4:88:23552,5:100:23552
1788467802,2:8:23552,3:100:23552,4:2:23552,5:100:23552
1788467803,2:0:23552,3:78:23552,4:5:23552,5:100:23552
1788467804,2:0:23524,3:0:23524,4:0:23552,5:0:23524
1788467805,2:0:23488,3:100:2,4:0:23524,5:0:23488
1788467807,2:0:2,3:0:2,4:89:2,5:67:2
