formula_pretty,nelements,structure_count,nsites_min,nsites_median,nsites_max,elements
Na5Zr2Ga2SiP5O24,6,1,117,0.0,117,Ga Na O P Si Zr
Na10Zr6Zn2Si7S5O48,6,1,234,0.0,234,Na O S Si Zn Zr
Na42Mg20Ta4Si15(S7O48)3,6,1,246,0.0,246,Mg Na O S Si Ta
Na14Hf2Zn6Si5S7O48,6,1,246,0.0,246,Hf Na O S Si Zn
Na10La4Hf4Si7S5O48,6,1,234,0.0,234,Hf La Na O S Si
Na3CaSn3P5SO24,6,1,111,0.0,111,Ca Na O P S Sn
Na14Sc4Zn4Si5S7O48,6,1,246,0.0,246,Na O S Sc Si Zn
Na5In2SiGe2P5O24,6,1,117,0.0,117,Ge In Na O P Si
Na6Sc6Nb2Si5S7O48,6,1,222,0.0,222,Na Nb O S Sc Si
Na10Ga4Si7Sn4S5O48,6,1,234,0.0,234,Ga Na O S Si Sn
Na3Y3NbP5SO24,6,1,111,0.0,111,Na Nb O P S Y
Na3Y3TaP5SO24,6,1,111,0.0,111,Na O P S Ta Y
Na14La4Zn4Si5S7O48,6,1,246,0.0,246,La Na O S Si Zn
Na14Mg4Sc4Si5S7O48,6,1,246,0.0,246,Mg Na O S Sc Si
Na14Ca6Si5Sn2S7O48,6,1,246,0.0,246,Ca Na O S Si Sn
Na6Al4Si5Ge4S7O48,6,1,222,0.0,222,Al Ge Na O S Si
Na10Nb4Zn4Si7S5O48,6,1,234,0.0,234,Na Nb O S Si Zn
Na5MgSiSn3P5O24,6,1,117,0.0,117,Mg Na O P Si Sn
Na10Ga4Si7Ge4S5O48,6,1,234,0.0,234,Ga Ge Na O S Si
Na6Mg2Ti6Si5S7O48,6,1,222,0.0,222,Mg Na O S Si Ti
Na6Sc4Ti4Si5S7O48,6,1,222,0.0,222,Na O S Sc Si Ti
Na3CaHf3P5SO24,6,1,111,0.0,111,Ca Hf Na O P S
Na21Nb2Zn10P15(SO24)3,6,1,123,0.0,123,Na Nb O P S Zn
Na7Ca2Sc2P5SO24,6,1,123,0.0,123,Ca Na O P S Sc
Na6Ti4Ga4Si5S7O48,6,1,222,0.0,222,Ga Na O S Si Ti
Na5Zr3ZnSiP5O24,6,1,117,0.0,117,Na O P Si Zn Zr
Na6Ca4Nb4Si5S7O48,6,1,222,0.0,222,Ca Na Nb O S Si
Na6Zr4In4Si5S7O48,6,1,222,0.0,222,In Na O S Si Zr
Na10Ti4In4Si7S5O48,6,1,234,0.0,234,In Na O S Si Ti
Na3La2Ge2P5SO24,6,1,111,0.0,111,Ge La Na O P S
Na3Ti2Al2P5SO24,6,1,111,0.0,111,Al Na O P S Ti
Na6Y6Ta2Si5S7O48,6,1,222,0.0,222,Na O S Si Ta Y
Na10Zr4Sc4Si7S5O48,6,1,234,0.0,234,Na O S Sc Si Zr
Na7Mg2In2P5SO24,6,1,123,0.0,123,In Mg Na O P S
Na14Zn4Ga4Si5S7O48,6,1,246,0.0,246,Ga Na O S Si Zn
Na6Nb2Al6Si5S7O48,6,1,222,0.0,222,Al Na Nb O S Si
Na10Nb2Al6Si7S5O48,6,1,234,0.0,234,Al Na Nb O S Si
Na10La4Ti4Si7S5O48,6,1,234,0.0,234,La Na O S Si Ti
Na3NbIn3P5SO24,6,1,111,0.0,111,In Na Nb O P S
Na10Y4Si7Sn4S5O48,6,1,234,0.0,234,Na O S Si Sn Y
Na5Y2Ti2SiP5O24,6,1,117,0.0,117,Na O P Si Ti Y
Na10Hf4Al4Si7S5O48,6,1,234,0.0,234,Al Hf Na O S Si
Na5Ca2Ta2SiP5O24,6,1,117,0.0,117,Ca Na O P Si Ta
Na6Mg4Nb4Si5S7O48,6,1,222,0.0,222,Mg Na Nb O S Si
Na10La6Nb2Si7S5O48,6,1,234,0.0,234,La Na Nb O S Si
Na5Y2SiGe2P5O24,6,1,117,0.0,117,Ge Na O P Si Y
Na7TiZn3P5SO24,6,1,123,0.0,123,Na O P S Ti Zn
Na6Nb4Zn4Si5S7O48,6,1,222,0.0,222,Na Nb O S Si Zn
Na7ZrZn3P5SO24,6,1,123,0.0,123,Na O P S Zn Zr
Na21Mg10Nb2P15(SO24)3,6,1,123,0.0,123,Mg Na Nb O P S
Na5Zr2In2SiP5O24,6,1,117,0.0,117,In Na O P Si Zr
Na3In2Ge2P5SO24,6,1,111,0.0,111,Ge In Na O P S
Na3Ca2Nb2P5SO24,6,1,111,0.0,111,Ca Na Nb O P S
Na3In2Sn2P5SO24,6,1,111,0.0,111,In Na O P S Sn
Na6Sc6Ta2Si5S7O48,6,1,222,0.0,222,Na O S Sc Si Ta
Na14Zn6Si5Ge2S7O48,6,1,246,0.0,246,Ge Na O S Si Zn
Na14Mg6Zr2Si5S7O48,6,1,246,0.0,246,Mg Na O S Si Zr
Na6Al4Si5Sn4S7O48,6,1,222,0.0,222,Al Na O S Si Sn
Na6Nb2Ga6Si5S7O48,6,1,222,0.0,222,Ga Na Nb O S Si
Na10Ca2Hf6Si7S5O48,6,1,234,0.0,234,Ca Hf Na O S Si
Na3Zr2Al2P5SO24,6,1,111,0.0,111,Al Na O P S Zr
Na3Sc2Sn2P5SO24,6,1,111,0.0,111,Na O P S Sc Sn
Na7Y2Zn2P5SO24,6,1,123,0.0,123,Na O P S Y Zn
Na6Ti4In4Si5S7O48,6,1,222,0.0,222,In Na O S Si Ti
Na3Hf2Sc2P5SO24,6,1,111,0.0,111,Hf Na O P S Sc
Na5Sc3NbSiP5O24,6,1,117,0.0,117,Na Nb O P Sc Si
Na6Ca2Si5Ge6S7O48,6,1,222,0.0,222,Ca Ge Na O S Si
Na14Ti2Zn6Si5S7O48,6,1,246,0.0,246,Na O S Si Ti Zn
Na5ZnSiGe3P5O24,6,1,117,0.0,117,Ge Na O P Si Zn
Na7Mg2Sc2P5SO24,6,1,123,0.0,123,Mg Na O P S Sc
Na7Y2Mg2P5SO24,6,1,123,0.0,123,Mg Na O P S Y
Na3CaTi3P5SO24,6,1,111,0.0,111,Ca Na O P S Ti
Na6Y6Nb2Si5S7O48,6,1,222,0.0,222,Na Nb O S Si Y
Na10Nb2Ga6Si7S5O48,6,1,234,0.0,234,Ga Na Nb O S Si
Na5In2SiSn2P5O24,6,1,117,0.0,117,In Na O P Si Sn
Na6Ca2Zr6Si5S7O48,6,1,222,0.0,222,Ca Na O S Si Zr
Na3Y2Hf2P5SO24,6,1,111,0.0,111,Hf Na O P S Y
Na3La2Ti2P5SO24,6,1,111,0.0,111,La Na O P S Ti
Na5Ga2SiSn2P5O24,6,1,117,0.0,117,Ga Na O P Si Sn
Na21Ta2Zn10P15(SO24)3,6,1,123,0.0,123,Na O P S Ta Zn
Na3Hf3MgP5SO24,6,1,111,0.0,111,Hf Mg Na O P S
Na7Zn3SnP5SO24,6,1,123,0.0,123,Na O P S Sn Zn
Na6Ti6Zn2Si5S7O48,6,1,222,0.0,222,Na O S Si Ti Zn
Na3La3NbP5SO24,6,1,111,0.0,111,La Na Nb O P S
Na6Zn2Si5Ge6S7O48,6,1,222,0.0,222,Ge Na O S Si Zn
Na10Zr4Ga4Si7S5O48,6,1,234,0.0,234,Ga Na O S Si Zr
Na42Ta4Zn20Si15(S7O48)3,6,1,246,0.0,246,Na O S Si Ta Zn
Na6Hf4Al4Si5S7O48,6,1,222,0.0,222,Al Hf Na O S Si
Na10Mg2Si7Sn6S5O48,6,1,234,0.0,234,Mg Na O S Si Sn
Na5Ti2Ga2SiP5O24,6,1,117,0.0,117,Ga Na O P Si Ti
Na10Ti6Zn2Si7S5O48,6,1,234,0.0,234,Na O S Si Ti Zn
Na14Zn6Si5Sn2S7O48,6,1,246,0.0,246,Na O S Si Sn Zn
Na3Hf2Ga2P5SO24,6,1,111,0.0,111,Ga Hf Na O P S
Na10Al4Si7Sn4S5O48,6,1,234,0.0,234,Al Na O S Si Sn
Na10Y4Zr4Si7S5O48,6,1,234,0.0,234,Na O S Si Y Zr
Na7Ca3ZrP5SO24,6,1,123,0.0,123,Ca Na O P S Zr
Na10Mg4Ta4Si7S5O48,6,1,234,0.0,234,Mg Na O S Si Ta
Na5CaSiGe3P5O24,6,1,117,0.0,117,Ca Ge Na O P Si
Na3MgGe3P5SO24,6,1,111,0.0,111,Ge Mg Na O P S
Na6Hf4Ga4Si5S7O48,6,1,222,0.0,222,Ga Hf Na O S Si
Na10Ca2Si7Sn6S5O48,6,1,234,0.0,234,Ca Na O S Si Sn
Na3La2Hf2P5SO24,6,1,111,0.0,111,Hf La Na O P S
Na3Zr2Ga2P5SO24,6,1,111,0.0,111,Ga Na O P S Zr
Na7Ca2La2P5SO24,6,1,123,0.0,123,Ca La Na O P S
Na5Ti2In2SiP5O24,6,1,117,0.0,117,In Na O P Si Ti
Na5Al2SiSn2P5O24,6,1,117,0.0,117,Al Na O P Si Sn
Na6Sc4Si5Sn4S7O48,6,1,222,0.0,222,Na O S Sc Si Sn
Na7Mg2Ga2P5SO24,6,1,123,0.0,123,Ga Mg Na O P S
Na6Ca2Ti6Si5S7O48,6,1,222,0.0,222,Ca Na O S Si Ti
Na6Zn2Si5Sn6S7O48,6,1,222,0.0,222,Na O S Si Sn Zn
Na10In4Si7Sn4S5O48,6,1,234,0.0,234,In Na O S Si Sn
Na5Zr2Sc2SiP5O24,6,1,117,0.0,117,Na O P Sc Si Zr
Na3ZnSn3P5SO24,6,1,111,0.0,111,Na O P S Sn Zn
Na42Mg20Nb4Si15(S7O48)3,6,1,246,0.0,246,Mg Na Nb O S Si
Na7Zn2Ga2P5SO24,6,1,123,0.0,123,Ga Na O P S Zn
Na5Ti2Al2SiP5O24,6,1,117,0.0,117,Al Na O P Si Ti
Na6Hf6Mg2Si5S7O48,6,1,222,0.0,222,Hf Mg Na O S Si
Na6Ca4Ta4Si5S7O48,6,1,222,0.0,222,Ca Na O S Si Ta
Na6La6Ta2Si5S7O48,6,1,222,0.0,222,La Na O S Si Ta
Na6Sc4Si5Ge4S7O48,6,1,222,0.0,222,Ge Na O S Sc Si
Na6Hf4Sc4Si5S7O48,6,1,222,0.0,222,Hf Na O S Sc Si
Na3La2Zr2P5SO24,6,1,111,0.0,111,La Na O P S Zr
Na3Sc2Ti2P5SO24,6,1,111,0.0,111,Na O P S Sc Ti
Na10Ta2Ga6Si7S5O48,6,1,234,0.0,234,Ga Na O S Si Ta
Na5Hf2Ga2SiP5O24,6,1,117,0.0,117,Ga Hf Na O P Si
Na6Zr6Zn2Si5S7O48,6,1,222,0.0,222,Na O S Si Zn Zr
Na7La2Mg2P5SO24,6,1,123,0.0,123,La Mg Na O P S
Na7Zn3GeP5SO24,6,1,123,0.0,123,Ge Na O P S Zn
Na5MgZr3SiP5O24,6,1,117,0.0,117,Mg Na O P Si Zr
Na14Ca6Hf2Si5S7O48,6,1,246,0.0,246,Ca Hf Na O S Si
Na6In4Si5Ge4S7O48,6,1,222,0.0,222,Ge In Na O S Si
Na6Ca2Hf6Si5S7O48,6,1,222,0.0,222,Ca Hf Na O S Si
Na3NbGa3P5SO24,6,1,111,0.0,111,Ga Na Nb O P S
Na6Mg4Ta4Si5S7O48,6,1,222,0.0,222,Mg Na O S Si Ta
Na3Y2Zr2P5SO24,6,1,111,0.0,111,Na O P S Y Zr
Na6Nb2In6Si5S7O48,6,1,222,0.0,222,In Na Nb O S Si
Na10La4Zr4Si7S5O48,6,1,234,0.0,234,La Na O S Si Zr
Na3Ti2Ga2P5SO24,6,1,111,0.0,111,Ga Na O P S Ti
Na6Ta4Zn4Si5S7O48,6,1,222,0.0,222,Na O S Si Ta Zn
Na14Mg4Ga4Si5S7O48,6,1,246,0.0,246,Ga Mg Na O S Si
Na3MgZr3P5SO24,6,1,111,0.0,111,Mg Na O P S Zr
Na5Ta2Zn2SiP5O24,6,1,117,0.0,117,Na O P Si Ta Zn
Na3Sc3NbP5SO24,6,1,111,0.0,111,Na Nb O P S Sc
Na14Ca6Zr2Si5S7O48,6,1,246,0.0,246,Ca Na O S Si Zr
Na3Y2Ti2P5SO24,6,1,111,0.0,111,Na O P S Ti Y
Na14Mg6Si5Ge2S7O48,6,1,246,0.0,246,Ge Mg Na O S Si
Na7Ca3HfP5SO24,6,1,123,0.0,123,Ca Hf Na O P S
Na14Hf2Mg6Si5S7O48,6,1,246,0.0,246,Hf Mg Na O S Si
Na5TaGa3SiP5O24,6,1,117,0.0,117,Ga Na O P Si Ta
Na3Hf3ZnP5SO24,6,1,111,0.0,111,Hf Na O P S Zn
Na5La2Ti2SiP5O24,6,1,117,0.0,117,La Na O P Si Ti
Na7Ca3SnP5SO24,6,1,123,0.0,123,Ca Na O P S Sn
Na5La2SiSn2P5O24,6,1,117,0.0,117,La Na O P Si Sn
Na7Ca3TiP5SO24,6,1,123,0.0,123,Ca Na O P S Ti
Na42Ca20Ta4Si15(S7O48)3,6,1,246,0.0,246,Ca Na O S Si Ta
Na6Ca2Si5Sn6S7O48,6,1,222,0.0,222,Ca Na O S Si Sn
Na3Ga2Sn2P5SO24,6,1,111,0.0,111,Ga Na O P S Sn
Na5TaIn3SiP5O24,6,1,117,0.0,117,In Na O P Si Ta
Na10Mg2Si7Ge6S5O48,6,1,234,0.0,234,Ge Mg Na O S Si
Na3La3TaP5SO24,6,1,111,0.0,111,La Na O P S Ta
Na6Mg2Si5Ge6S7O48,6,1,222,0.0,222,Ge Mg Na O S Si
Na10Y4Hf4Si7S5O48,6,1,234,0.0,234,Hf Na O S Si Y
Na14Zr2Zn6Si5S7O48,6,1,246,0.0,246,Na O S Si Zn Zr
Na21Mg10Ta2P15(SO24)3,6,1,123,0.0,123,Mg Na O P S Ta
Na3Y2Sn2P5SO24,6,1,111,0.0,111,Na O P S Sn Y
Na6La4Si5Sn4S7O48,6,1,222,0.0,222,La Na O S Si Sn
Na6Ta2Al6Si5S7O48,6,1,222,0.0,222,Al Na O S Si Ta
Na5CaSiSn3P5O24,6,1,117,0.0,117,Ca Na O P Si Sn
Na10Ca2Zr6Si7S5O48,6,1,234,0.0,234,Ca Na O S Si Zr
Na5Ti3ZnSiP5O24,6,1,117,0.0,117,Na O P Si Ti Zn
Na10Zr4Al4Si7S5O48,6,1,234,0.0,234,Al Na O S Si Zr
Na7Mg3GeP5SO24,6,1,123,0.0,123,Ge Mg Na O P S
Na14Mg6Ti2Si5S7O48,6,1,246,0.0,246,Mg Na O S Si Ti
Na10Mg2Zr6Si7S5O48,6,1,234,0.0,234,Mg Na O S Si Zr
Na6Ga4Si5Sn4S7O48,6,1,222,0.0,222,Ga Na O S Si Sn
Na10La6Ta2Si7S5O48,6,1,234,0.0,234,La Na O S Si Ta
Na5Al2SiGe2P5O24,6,1,117,0.0,117,Al Ge Na O P Si
Na3Nb2Zn2P5SO24,6,1,111,0.0,111,Na Nb O P S Zn
Na3Mg2Nb2P5SO24,6,1,111,0.0,111,Mg Na Nb O P S
Na6Ti4Al4Si5S7O48,6,1,222,0.0,222,Al Na O S Si Ti
Na10Y6Nb2Si7S5O48,6,1,234,0.0,234,Na Nb O S Si Y
Na7Sc2Zn2P5SO24,6,1,123,0.0,123,Na O P S Sc Zn
Na6Zr4Ga4Si5S7O48,6,1,222,0.0,222,Ga Na O S Si Zr
Na10Ta2Al6Si7S5O48,6,1,234,0.0,234,Al Na O S Si Ta
Na3La2Sn2P5SO24,6,1,111,0.0,111,La Na O P S Sn
Na6Ta2Ga6Si5S7O48,6,1,222,0.0,222,Ga Na O S Si Ta
Na3Zr2Sc2P5SO24,6,1,111,0.0,111,Na O P S Sc Zr
Na3Hf2In2P5SO24,6,1,111,0.0,111,Hf In Na O P S
Na5CaHf3SiP5O24,6,1,117,0.0,117,Ca Hf Na O P Si
Na6Hf4In4Si5S7O48,6,1,222,0.0,222,Hf In Na O S Si
Na14Ca4In4Si5S7O48,6,1,246,0.0,246,Ca In Na O S Si
Na6Zn2Si3Sn2(SO8)3,6,1,120,0.0,120,Na O S Si Sn Zn
NaZr4P5SO24,5,1,105,0.0,105,Na O P S Zr
Na2Zr8Si5S7O48,5,1,210,0.0,210,Na O S Si Zr
NaNb2Ga2P5SO24,6,1,105,0.0,105,Ga Na Nb O P S
Na3Ta8Zn4P15(SO24)3,6,1,105,0.0,105,Na O P S Ta Zn
Na4ZrGaSi2PO12,6,1,126,0.0,126,Ga Na O P Si Zr
Na6In4Si3(SO8)3,5,1,120,0.0,120,In Na O S Si
Na2La4Nb4Si5S7O48,6,1,210,0.0,210,La Na Nb O S Si
NaTi2Ge2P5SO24,6,1,105,0.0,105,Ge Na O P S Ti
Na6Al2In2Si3(SO8)3,6,1,120,0.0,120,Al In Na O S Si
Na2Y4Ta4Si5S7O48,6,1,210,0.0,210,Na O S Si Ta Y
Na6La2Y2Si3(SO8)3,6,1,120,0.0,120,La Na O S Si Y
Na4YHfSi2PO12,6,1,126,0.0,126,Hf Na O P Si Y
Na2Ta4Al4Si5S7O48,6,1,210,0.0,210,Al Na O S Si Ta
Na8TaIn3Si5SO24,6,1,126,0.0,126,In Na O S Si Ta
Na8CaHf3Si5SO24,6,1,126,0.0,126,Ca Hf Na O S Si
Na3Ca4Ta8P15(SO24)3,6,1,105,0.0,105,Ca Na O P S Ta
Na6Sc2Al2Si3(SO8)3,6,1,120,0.0,120,Al Na O S Sc Si
Na6Al4Si3(SO8)3,5,1,120,0.0,120,Al Na O S Si
Na2Si5Sn4Ge4S7O48,6,1,210,0.0,210,Ge Na O S Si Sn
Na6Mg2Ti2Si3(SO8)3,6,1,120,0.0,120,Mg Na O S Si Ti
Na18Ca8Ta4Si9(SO8)9,6,1,120,0.0,120,Ca Na O S Si Ta
Na4ScTiSi2PO12,6,1,126,0.0,126,Na O P Sc Si Ti
Na8CaSi4Ge3(PO12)2,6,1,126,0.0,126,Ca Ge Na O P Si
Na2Ti8Si5S7O48,5,1,210,0.0,210,Na O S Si Ti
Na6Ca8Ta16Si15(S7O48)3,6,1,210,0.0,210,Ca Na O S Si Ta
Na6Mg2Si3Ge2(SO8)3,6,1,120,0.0,120,Ge Mg Na O S Si
Na8TaAl3Si4(PO12)2,6,1,126,0.0,126,Al Na O P Si Ta
Na8Hf2Ga2Si5SO24,6,1,126,0.0,126,Ga Hf Na O S Si
Na6Y4Si3(SO8)3,5,1,120,0.0,120,Na O S Si Y
Na2Ta4Ga4Si5S7O48,6,1,210,0.0,210,Ga Na O S Si Ta
Na2Hf8Si5S7O48,5,1,210,0.0,210,Hf Na O S Si
Na2Hf4Si5Ge4S7O48,6,1,210,0.0,210,Ge Hf Na O S Si
Na2Zr4Si5Ge4S7O48,6,1,210,0.0,210,Ge Na O S Si Zr
Na6Ca2Zr2Si3(SO8)3,6,1,120,0.0,120,Ca Na O S Si Zr
Na8ZnSi4Sn3(PO12)2,6,1,126,0.0,126,Na O P Si Sn Zn
Na8NbAl3Si4(PO12)2,6,1,126,0.0,126,Al Na Nb O P Si
NaSn2Ge2P5SO24,6,1,105,0.0,105,Ge Na O P S Sn
Na2Ti4Si5Ge4S7O48,6,1,210,0.0,210,Ge Na O S Si Ti
Na6La2In2Si3(SO8)3,6,1,120,0.0,120,In La Na O S Si
Na2Sc4Ta4Si5S7O48,6,1,210,0.0,210,Na O S Sc Si Ta
Na8Y2Si5Ge2SO24,6,1,126,0.0,126,Ge Na O S Si Y
NaTa2Al2P5SO24,6,1,105,0.0,105,Al Na O P S Ta
Na8La3TaSi4(PO12)2,6,1,126,0.0,126,La Na O P Si Ta
Na2Y4Nb4Si5S7O48,6,1,210,0.0,210,Na Nb O S Si Y
Na2Nb4In4Si5S7O48,6,1,210,0.0,210,In Na Nb O S Si
Na8Y2Ti2Si5SO24,6,1,126,0.0,126,Na O S Si Ti Y
Na8Ti3ZnSi5SO24,6,1,126,0.0,126,Na O S Si Ti Zn
Na4ScSi2SnPO12,6,1,126,0.0,126,Na O P Sc Si Sn
Na8Y3TaSi4(PO12)2,6,1,126,0.0,126,Na O P Si Ta Y
NaTi4P5SO24,5,1,105,0.0,105,Na O P S Ti
Na8Ca2Nb2Si5SO24,6,1,126,0.0,126,Ca Na Nb O S Si
Na8Nb2Zn2Si5SO24,6,1,126,0.0,126,Na Nb O S Si Zn
Na8Zr3ZnSi4(PO12)2,6,1,126,0.0,126,Na O P Si Zn Zr
Na8NbIn3Si5SO24,6,1,126,0.0,126,In Na Nb O S Si
Na8In2Si5Sn2SO24,6,1,126,0.0,126,In Na O S Si Sn
Na2Nb4Ga4Si5S7O48,6,1,210,0.0,210,Ga Na Nb O S Si
Na6Sc2Ga2Si3(SO8)3,6,1,120,0.0,120,Ga Na O S Sc Si
NaZr2Ge2P5SO24,6,1,105,0.0,105,Ge Na O P S Zr
Na4LaSi2GePO12,6,1,126,0.0,126,Ge La Na O P Si
Na2Ti4Si5Sn4S7O48,6,1,210,0.0,210,Na O S Si Sn Ti
Na18Mg8Nb4Si9(SO8)9,6,1,120,0.0,120,Mg Na Nb O S Si
Na2Zr4Ti4Si5S7O48,6,1,210,0.0,210,Na O S Si Ti Zr
NaHf2Zr2P5SO24,6,1,105,0.0,105,Hf Na O P S Zr
Na2Nb4Al4Si5S7O48,6,1,210,0.0,210,Al Na Nb O S Si
NaTa2Ga2P5SO24,6,1,105,0.0,105,Ga Na O P S Ta
NaSc2Ta2P5SO24,6,1,105,0.0,105,Na O P S Sc Ta
Na6Hf2Mg2Si3(SO8)3,6,1,120,0.0,120,Hf Mg Na O S Si
Na8CaTi3Si5SO24,6,1,126,0.0,126,Ca Na O S Si Ti
Na2Si5Ge8S7O48,5,1,210,0.0,210,Ge Na O S Si
Na4AlSi2SnPO12,6,1,126,0.0,126,Al Na O P Si Sn
Na6Sc2In2Si3(SO8)3,6,1,120,0.0,120,In Na O S Sc Si
Na8Zr2In2Si5SO24,6,1,126,0.0,126,In Na O S Si Zr
Na6Ga4Si3(SO8)3,5,1,120,0.0,120,Ga Na O S Si
Na8MgSi5Sn3SO24,6,1,126,0.0,126,Mg Na O S Si Sn
Na6Ca2Hf2Si3(SO8)3,6,1,120,0.0,120,Ca Hf Na O S Si
Na2Hf4Si5Sn4S7O48,6,1,210,0.0,210,Hf Na O S Si Sn
Na6La2Ga2Si3(SO8)3,6,1,120,0.0,120,Ga La Na O S Si
Na6La2Sc2Si3(SO8)3,6,1,120,0.0,120,La Na O S Sc Si
NaNb2Al2P5SO24,6,1,105,0.0,105,Al Na Nb O P S
NaTa2In2P5SO24,6,1,105,0.0,105,In Na O P S Ta
Na3Mg4Nb8P15(SO24)3,6,1,105,0.0,105,Mg Na Nb O P S
Na6Y2Al2Si3(SO8)3,6,1,120,0.0,120,Al Na O S Si Y
Na3Nb8Zn4P15(SO24)3,6,1,105,0.0,105,Na Nb O P S Zn
Na6Ta16Zn8Si15(S7O48)3,6,1,210,0.0,210,Na O S Si Ta Zn
Na2Sc4Nb4Si5S7O48,6,1,210,0.0,210,Na Nb O S Sc Si
Na18Nb4Zn8Si9(SO8)9,6,1,120,0.0,120,Na Nb O S Si Zn
Na3Ca4Nb8P15(SO24)3,6,1,105,0.0,105,Ca Na Nb O P S
Na6In2Ga2Si3(SO8)3,6,1,120,0.0,120,Ga In Na O S Si
Na2Ta4In4Si5S7O48,6,1,210,0.0,210,In Na O S Si Ta
Na8MgTi3Si4(PO12)2,6,1,126,0.0,126,Mg Na O P Si Ti
Na18Mg8Ta4Si9(SO8)9,6,1,120,0.0,120,Mg Na O S Si Ta
NaTi2Sn2P5SO24,6,1,105,0.0,105,Na O P S Sn Ti
NaSc2Nb2P5SO24,6,1,105,0.0,105,Na Nb O P S Sc
NaHf4P5SO24,5,1,105,0.0,105,Hf Na O P S
Na6Mg8Ta16Si15(S7O48)3,6,1,210,0.0,210,Mg Na O S Si Ta
Na6Zn2Si3Ge2(SO8)3,6,1,120,0.0,120,Ge Na O S Si Zn
NaHf2Sn2P5SO24,6,1,105,0.0,105,Hf Na O P S Sn
Na6Ca2Ti2Si3(SO8)3,6,1,120,0.0,120,Ca Na O S Si Ti
Na6Y2Sc2Si3(SO8)3,6,1,120,0.0,120,Na O S Sc Si Y
Na4AlSi2GePO12,6,1,126,0.0,126,Al Ge Na O P Si
Na6Mg8Nb16Si15(S7O48)3,6,1,210,0.0,210,Mg Na Nb O S Si
Na8Ga2Si5Sn2SO24,6,1,126,0.0,126,Ga Na O S Si Sn
Na8Hf3MgSi5SO24,6,1,126,0.0,126,Hf Mg Na O S Si
Na4TiInSi2PO12,6,1,126,0.0,126,In Na O P Si Ti
NaY2Ta2P5SO24,6,1,105,0.0,105,Na O P S Ta Y
Na6Y2In2Si3(SO8)3,6,1,120,0.0,120,In Na O S Si Y
Na6Al2Ga2Si3(SO8)3,6,1,120,0.0,120,Al Ga Na O S Si
NaHf2Ti2P5SO24,6,1,105,0.0,105,Hf Na O P S Ti
Na2Zr4Si5Sn4S7O48,6,1,210,0.0,210,Na O S Si Sn Zr
Na2Si5Sn8S7O48,5,1,210,0.0,210,Na O S Si Sn
Na2Hf4Ti4Si5S7O48,6,1,210,0.0,210,Hf Na O S Si Ti
Na4HfInSi2PO12,6,1,126,0.0,126,Hf In Na O P Si
Na4ZrAlSi2PO12,6,1,126,0.0,126,Al Na O P Si Zr
Na8MgZr3Si4(PO12)2,6,1,126,0.0,126,Mg Na O P Si Zr
Na3Mg4Ta8P15(SO24)3,6,1,105,0.0,105,Mg Na O P S Ta
NaHf2Ge2P5SO24,6,1,105,0.0,105,Ge Hf Na O P S
NaLa2Nb2P5SO24,6,1,105,0.0,105,La Na Nb O P S
Na8NbGa3Si4(PO12)2,6,1,126,0.0,126,Ga Na Nb O P Si
Na6Sc4Si3(SO8)3,5,1,120,0.0,120,Na O S Sc Si
Na8CaZr3Si5SO24,6,1,126,0.0,126,Ca Na O S Si Zr
Na8Sc2Si5Ge2SO24,6,1,126,0.0,126,Ge Na O S Sc Si
NaZr2Ti2P5SO24,6,1,105,0.0,105,Na O P S Ti Zr
Na8NbIn3Si4(PO12)2,6,1,126,0.0,126,In Na Nb O P Si
Na8Zr2Sc2Si5SO24,6,1,126,0.0,126,Na O S Sc Si Zr
Na6Ca2Si3Sn2(SO8)3,6,1,120,0.0,120,Ca Na O S Si Sn
NaZr2Sn2P5SO24,6,1,105,0.0,105,Na O P S Sn Zr
Na6Ti2Zn2Si3(SO8)3,6,1,120,0.0,120,Na O S Si Ti Zn
Na6Hf2Zn2Si3(SO8)3,6,1,120,0.0,120,Hf Na O S Si Zn
Na8Hf2In2Si5SO24,6,1,126,0.0,126,Hf In Na O S Si
Na6Nb16Zn8Si15(S7O48)3,6,1,210,0.0,210,Na Nb O S Si Zn
Na18Ta4Zn8Si9(SO8)9,6,1,120,0.0,120,Na O S Si Ta Zn
Na8TaGa3Si4(PO12)2,6,1,126,0.0,126,Ga Na O P Si Ta
Na8Ti2Ga2Si5SO24,6,1,126,0.0,126,Ga Na O S Si Ti
Na4CaNbSi2PO12,6,1,126,0.0,126,Ca Na Nb O P Si
Na4HfGaSi2PO12,6,1,126,0.0,126,Ga Hf Na O P Si
Na6Mg2Si3Sn2(SO8)3,6,1,120,0.0,120,Mg Na O S Si Sn
NaSn4P5SO24,5,1,105,0.0,105,Na O P S Sn
NaGe4P5SO24,5,1,105,0.0,105,Ge Na O P S
Na6La4Si3(SO8)3,5,1,120,0.0,120,La Na O S Si
NaY2Nb2P5SO24,6,1,105,0.0,105,Na Nb O P S Y
Na8Y3NbSi5SO24,6,1,126,0.0,126,Na Nb O S Si Y
Na2Hf4Zr4Si5S7O48,6,1,210,0.0,210,Hf Na O S Si Zr
Na6Y2Ga2Si3(SO8)3,6,1,120,0.0,120,Ga Na O S Si Y
Na6La2Al2Si3(SO8)3,6,1,120,0.0,120,Al La Na O S Si
Na6Mg2Zr2Si3(SO8)3,6,1,120,0.0,120,Mg Na O S Si Zr
