formula_pretty,nelements,structure_count,nsites_min,nsites_median,nsites_max,elements
Li2MnO2F,4,26,12,24.0,24,F Li Mn O
LiMn2(PO4)2,4,26,13,39.0,78,Li Mn O P
MnPO4,3,26,12,24.0,96,Mn O P
Fe4OF7,3,26,12,24.0,24,F Fe O
Mn12O7F17,3,26,36,36.0,36,F Mn O
Li2MnFe(BO3)2,5,26,24,24.0,48,B Fe Li Mn O
Fe2O3,2,26,5,40.0,160,Fe O
MgTi,2,26,2,8.0,24,Mg Ti
TiCrAgS4,4,26,7,28.0,56,Ag Cr S Ti
Rb,1,25,1,8.0,29,Rb
Li2MnP2O7,4,25,24,48.0,96,Li Mn O P
Co2O3F,3,25,12,24.0,30,Co F O
MgGa,2,25,2,4.0,32,Ga Mg
Sr(H8O5)2,3,25,27,54.0,54,H O Sr
LiVF5,3,25,14,28.0,56,F Li V
Fe4O3F5,3,25,12,24.0,24,F Fe O
LiV2OF5,4,25,18,27.0,108,F Li O V
Li2FeF4,3,25,7,28.0,84,F Fe Li
Fe4O7F,3,25,12,24.0,24,F Fe O
MnO2,2,25,3,12.0,72,Mn O
Li4MnCo3O8,4,25,16,16.0,32,Co Li Mn O
Li5Mn(CoO4)2,4,25,16,16.0,16,Co Li Mn O
Ta2O5,2,24,7,14.0,105,O Ta
Zn(FeO2)2,3,24,14,35.0,84,Fe O Zn
VF5,2,24,12,24.0,48,F V
CrO2,2,24,3,12.0,48,Cr O
LiNiO2,3,24,4,16.0,32,Li Ni O
LiMnO2,3,24,4,16.0,80,Li Mn O
FeO2,2,24,3,12.0,48,Fe O
Te4MoW3(SeS)2,5,24,12,12.0,12,Mo S Se Te W
Te2MoW3(SeS2)2,5,24,12,12.0,12,Mo S Se Te W
Te2Mo3W(Se2S)2,5,24,12,12.0,12,Mo S Se Te W
Te4Mo3W(SeS)2,5,24,12,12.0,12,Mo S Se Te W
Te2MoW3(Se2S)2,5,24,12,12.0,12,Mo S Se Te W
Li4Co3O7,3,24,28,28.0,28,Co Li O
LiVP2O7,4,23,22,44.0,44,Li O P V
LiCrP2O7,4,23,11,44.0,44,Cr Li O P
Li2FeP2O7,4,23,24,48.0,96,Fe Li O P
MgTi4O8,3,23,13,13.0,13,Mg O Ti
MgV6O5F19,4,23,31,31.0,31,F Mg O V
MgMn6(OF)6,4,23,19,19.0,19,F Mg Mn O
MgCo6O7F5,4,23,19,19.0,19,Co F Mg O
CoPO4,3,23,12,24.0,144,Co O P
VOF3,3,23,10,20.0,20,F O V
MnP2O7,3,23,10,40.0,80,Mn O P
Mn12O5F19,3,23,36,36.0,36,F Mn O
Mn2OF3,3,23,12,24.0,30,F Mn O
MgO,2,23,2,24.0,80,Mg O
V2O3F,3,23,6,24.0,30,F O V
Fe2O3F,3,23,6,24.0,30,F Fe O
Ca2SnS4,3,23,7,28.0,56,Ca S Sn
Te2MoWSe2,4,23,6,12.0,12,Mo Se Te W
Te2Mo3W(SeS2)2,5,23,12,12.0,12,Mo S Se Te W
K,1,22,1,5.0,81,K
Li3V2(O2F)2,4,22,22,33.0,44,F Li O V
