species,stoichiometry,raw_entries,proxy_structure_families,natoms_min,natoms_median,natoms_max
O-Si,0.666667;0.333333,473,473,3,12.0,144
O-Ti,0.666667;0.333333,263,263,3,6.0,24
Cd-I,0.333333;0.666667,210,210,3,27.0,45
Ag-Al,0.5;0.5,207,207,2,8.0,24
Mo-Ti,0.5;0.5,176,176,2,8.0,24
Hf-Zr,0.5;0.5,175,175,2,6.0,24
Co-Fe,0.5;0.5,172,172,2,8.0,24
Mo-Ta,0.5;0.5,172,172,2,8.0,24
O-Zr,0.666667;0.333333,169,169,3,6.0,24
Hf-Tl,0.5;0.5,166,166,2,6.0,24
Hf-Ti,0.5;0.5,166,166,2,6.0,24
Ni-V,0.5;0.5,166,166,2,8.0,24
Hf-Mg,0.5;0.5,165,165,2,6.0,24
Hf-Sc,0.5;0.5,159,159,2,6.0,24
Hf-Pb,0.5;0.5,159,159,2,6.0,24
Ge-O,0.333333;0.666667,136,136,3,9.0,12
C-Ta,0.5;0.5,136,136,2,2.0,24
Fe-Hf,0.5;0.5,135,135,2,6.0,24
Ag-Pt,0.5;0.5,134,134,2,12.0,24
O-Sn,0.666667;0.333333,131,131,3,6.0,36
C-Zr,0.5;0.5,127,127,2,2.0,24
Cd-Te,0.5;0.5,124,124,2,2.0,24
Cd-Hf,0.5;0.5,123,123,2,8.0,24
O-Zn,0.5;0.5,123,123,2,4.0,16
Fe-Se,0.5;0.5,121,119,2,4.0,24
C-Nb,0.5;0.5,119,119,2,4.0,24
Te-Zn,0.5;0.5,114,114,2,4.0,24
S-Zn,0.5;0.5,113,113,2,28.0,56
Ce-O,0.333333;0.666667,112,112,3,6.0,12
Cl-K,0.5;0.5,110,110,2,2.0,12
Pd-Pt,0.5;0.5,110,110,2,10.0,24
C-Hf,0.5;0.5,109,109,2,4.0,24
C-Ti,0.5;0.5,109,109,2,4.0,24
Hf-Mo,0.333333;0.666667,108,108,3,6.0,24
Fe-Hf,0.666667;0.333333,107,107,3,6.0,24
Cr-O,0.333333;0.666667,105,105,3,6.0,12
Ge-Mg,0.333333;0.666667,104,74,3,6.0,24
Hf-Mo,0.5;0.5,103,103,2,6.0,24
Fe-Hf,0.333333;0.666667,103,103,3,6.0,24
Mg-O,0.5;0.5,102,102,2,2.0,24
Mg-Sn,0.666667;0.333333,102,102,3,6.0,24
C-Si,0.5;0.5,101,101,2,4.0,54
Hf-Zr,0.666667;0.333333,101,101,3,6.0,24
Hf-Mo,0.666667;0.333333,100,100,3,6.0,24
C-W,0.5;0.5,100,100,2,4.0,24
Hf-Tl,0.666667;0.333333,100,100,3,6.0,24
Hf-Mg,0.666667;0.333333,99,99,3,6.0,24
Hf-Ti,0.666667;0.333333,99,99,3,6.0,24
Hf-Ti,0.333333;0.666667,99,99,3,6.0,24
Hf-Sc,0.333333;0.666667,99,99,3,6.0,24
Hf-Sc,0.666667;0.333333,98,98,3,6.0,24
Hf-Mg,0.333333;0.666667,98,98,3,6.0,24
Hf-Zr,0.333333;0.666667,98,98,3,6.0,24
Ge-Mg,0.5;0.5,97,63,2,4.0,24
B-Hf,0.666667;0.333333,97,70,3,6.0,24
Cu-Pt,0.5;0.5,97,97,2,8.0,24
S-Sn,0.5;0.5,96,96,2,4.0,24
Hf-Pb,0.666667;0.333333,96,96,3,6.0,24
Mg-Sc,0.5;0.5,95,60,2,4.0,24
Hf-Pb,0.333333;0.666667,95,95,3,6.0,24
B-Hf,0.5;0.5,95,59,2,4.0,24
Hf-Tl,0.333333;0.666667,94,94,3,6.0,24
C-V,0.5;0.5,93,93,2,4.0,24
Mg-Ti,0.5;0.5,93,59,2,4.0,24
Mg-Rh,0.5;0.5,92,58,2,4.0,24
Mg-Sn,0.5;0.5,91,50,2,4.0,24
S-Ti,0.666667;0.333333,91,91,3,6.0,24
Mo-Ta,0.625;0.375,90,90,8,8.0,16
Hg-S,0.5;0.5,90,90,2,4.0,24
Mo-Ta,0.75;0.25,90,90,4,8.0,24
Mo-Ti,0.75;0.25,90,90,4,8.0,24
Hg-Te,0.5;0.5,90,90,2,4.0,24
Co-Fe,0.375;0.625,90,90,8,8.0,16
Mo-Ta,0.25;0.75,89,89,4,8.0,24
Mo-Ti,0.375;0.625,89,89,8,8.0,16
Mo-Ta,0.375;0.625,89,89,8,8.0,16
Co-Fe,0.625;0.375,89,89,8,8.0,16
Mo-Ti,0.625;0.375,89,89,8,8.0,16
Mg-Ti,0.666667;0.333333,89,89,3,6.0,24
Ni-V,0.625;0.375,88,88,8,8.0,16
Mg-Ti,0.333333;0.666667,88,88,3,6.0,24
Fe-O,0.428571;0.571429,88,88,7,14.0,56
Hf-O,0.333333;0.666667,87,87,3,12.0,24
Mo-Ti,0.25;0.75,87,87,4,8.0,24
Ni-V,0.375;0.625,87,87,8,8.0,16
Fe-Rh,0.5;0.5,87,87,2,6.0,12
C-Mo,0.5;0.5,87,87,2,4.0,24
Ag-Al,0.625;0.375,86,86,8,8.0,16
Mg-Ru,0.5;0.5,86,52,2,4.0,24
Mg-Sn,0.333333;0.666667,86,86,3,6.0,24
Fe-O,0.4;0.6,86,86,5,10.0,40
Cu-Se,0.5;0.5,86,86,2,6.0,24
Pb-Te,0.5;0.5,85,85,2,2.0,24
Mg-Rh,0.666667;0.333333,85,85,3,6.0,24
Ni-O,0.5;0.5,85,74,2,2.0,16
Al-O,0.4;0.6,85,85,10,10.0,40
Ag-Al,0.375;0.625,84,84,8,8.0,16
Ni-V,0.75;0.25,84,84,4,8.0,24
Mg-Pb,0.5;0.5,84,50,2,4.0,24
Mg-Rh,0.333333;0.666667,84,84,3,6.0,24
Ag-Al,0.333333;0.666667,84,84,3,6.0,24
Ge-Mg,0.666667;0.333333,83,57,3,6.0,24
Ni-Ti,0.5;0.5,83,83,2,4.0,24
Mg-Sc,0.666667;0.333333,83,83,3,6.0,24
Re-Rh,0.5;0.5,83,83,2,6.0,24
In-Sb,0.5;0.5,83,83,2,4.0,12
Mg-Zn,0.5;0.5,82,51,2,4.0,24
Fe-Rh,0.333333;0.666667,82,82,3,6.0,24
Mg-Sc,0.333333;0.666667,82,82,3,6.0,24
C-Fe,0.25;0.75,81,81,4,16.0,24
B-Hf,0.333333;0.666667,81,49,3,6.0,24
C-Sc,0.5;0.5,81,81,2,4.0,24
Se-Sn,0.5;0.5,81,81,2,6.0,24
Mn-O,0.333333;0.666667,81,81,3,9.0,12
Co-Fe,0.25;0.75,80,80,4,8.0,24
Fe-Rh,0.666667;0.333333,80,80,3,6.0,24
Co-Fe,0.75;0.25,80,80,4,8.0,24
Mg-Y,0.5;0.5,80,60,2,4.0,24
Cr-Zr,0.666667;0.333333,80,80,3,6.0,24
Mg-Pb,0.666667;0.333333,80,80,3,6.0,24
Ni-V,0.25;0.75,79,79,4,8.0,24
Hf-Sn,0.5;0.5,79,48,2,4.0,12
As-Ga,0.5;0.5,79,79,2,4.0,24
C-Y,0.666667;0.333333,79,79,3,6.0,24
Ga-Mg,0.5;0.5,79,52,2,4.0,24
Hg-Se,0.5;0.5,79,79,2,4.0,24
Ag-Al,0.25;0.75,79,79,4,8.0,24
Mg-Zr,0.5;0.5,78,48,2,4.0,24
Ag-Al,0.75;0.25,78,78,4,8.0,24
C-Cr,0.5;0.5,78,78,2,4.0,24
Ca-S,0.5;0.5,77,77,2,4.0,24
Mg-Sr,0.5;0.5,77,52,2,4.0,24
Cu-S,0.5;0.5,77,77,2,4.0,24
Mg-Zn,0.333333;0.666667,77,77,3,6.0,24
Mg-Ta,0.333333;0.666667,77,77,3,6.0,24
Mg-Ta,0.666667;0.333333,77,77,3,6.0,24
C-Y,0.5;0.5,77,77,2,4.0,24
Mg-Ta,0.5;0.5,77,45,2,4.0,12
C-Ir,0.5;0.5,76,76,2,4.0,24
Ag-Al,0.666667;0.333333,76,76,3,6.0,24
Al-Rh,0.5;0.5,76,76,2,6.0,24
Pd-Sn,0.5;0.5,76,51,2,4.0,24
Ni-Pt,0.5;0.5,76,76,2,4.0,24
Na-Pt,0.5;0.5,76,49,2,4.0,24
Hf-Zr,0.75;0.25,76,76,4,8.0,24
Co-Rh,0.666667;0.333333,75,75,3,6.0,24
Mg-Ru,0.333333;0.666667,75,75,3,6.0,24
Pt-Sn,0.5;0.5,75,50,2,4.0,8
Ca-Sn,0.5;0.5,75,75,2,4.0,24
Ag-Pt,0.333333;0.666667,74,74,3,9.0,48
Na-Pd,0.5;0.5,74,47,2,4.0,24
Nb-O,0.333333;0.666667,74,74,3,9.0,24
Hf-Zr,0.25;0.75,74,74,4,8.0,24
Ga-Mg,0.333333;0.666667,74,49,3,6.0,24
Al-Li,0.5;0.5,74,72,2,4.0,24
Mg-Ru,0.666667;0.333333,74,74,3,6.0,24
Pd-Si,0.5;0.5,74,53,2,4.0,24
O-Pr,0.666667;0.333333,73,73,3,6.0,12
Cu-Hg,0.5;0.5,73,73,2,4.0,24
Cu-O,0.333333;0.666667,73,72,3,9.0,12
S-Sn,0.666667;0.333333,73,73,3,3.0,24
C-Mn,0.5;0.5,73,73,2,4.0,24
Cu-Mg,0.666667;0.333333,73,73,3,6.0,24
C-Mo,0.333333;0.666667,73,73,3,6.0,24
C-W,0.333333;0.666667,73,73,3,6.0,24
Ag-Pt,0.666667;0.333333,73,73,3,9.0,24
Ge-Se,0.5;0.5,73,73,2,4.0,24
Ge-Te,0.5;0.5,73,73,2,2.0,16
Fe-Zr,0.666667;0.333333,73,73,3,6.0,24
Mg-Sr,0.666667;0.333333,73,73,3,6.0,24
Pd-Sr,0.5;0.5,72,47,2,4.0,12
Mg-Te,0.5;0.5,72,72,2,4.0,24
As-In,0.5;0.5,72,72,2,4.0,16
Br-K,0.5;0.5,72,72,2,2.0,8
Fe-Sb,0.333333;0.666667,72,72,3,6.0,24
Hf-Ti,0.75;0.25,72,72,4,8.0,24
Fe-Y,0.666667;0.333333,71,71,3,6.0,24
C-Ti,0.666667;0.333333,71,71,3,6.0,24
C-Ta,0.666667;0.333333,71,71,3,6.0,24
C-Sc,0.666667;0.333333,71,71,3,6.0,24
C-V,0.666667;0.333333,71,71,3,6.0,24
C-W,0.666667;0.333333,71,71,3,6.0,24
C-Hf,0.666667;0.333333,71,71,3,6.0,24
C-Os,0.5;0.5,71,71,2,4.0,24
C-Nb,0.666667;0.333333,71,71,3,6.0,24
Mg-W,0.5;0.5,71,43,2,4.0,12
C-Cr,0.666667;0.333333,71,71,3,6.0,24
Pb-Se,0.5;0.5,71,71,2,2.0,12
C-Zr,0.666667;0.333333,71,71,3,6.0,24
C-Mo,0.666667;0.333333,71,71,3,6.0,24
Mg-Re,0.666667;0.333333,70,70,3,6.0,24
Na-Pt,0.333333;0.666667,70,50,3,6.0,24
Mg-Mo,0.5;0.5,70,45,2,4.0,12
Mo-Ti,0.333333;0.666667,70,70,3,6.0,24
C-Ir,0.666667;0.333333,70,70,3,6.0,24
Mo-Ti,0.666667;0.333333,70,70,3,6.0,24
Hf-Sn,0.666667;0.333333,70,45,3,6.0,24
O-Zn,0.666667;0.333333,70,70,3,12.0,12
Co-Rh,0.333333;0.666667,70,70,3,6.0,24
S-Ti,0.5;0.5,70,70,2,4.0,24
Cu-Hg,0.666667;0.333333,70,70,3,6.0,24
Mg-Pb,0.333333;0.666667,70,70,3,6.0,24
Ni-O,0.333333;0.666667,70,70,3,9.0,12
Ga-Mg,0.666667;0.333333,70,51,3,6.0,24
C-Ca,0.666667;0.333333,70,70,3,6.0,24
Hf-Ti,0.25;0.75,70,70,4,8.0,24
Mg-Na,0.5;0.5,70,47,2,4.0,24
Mg-Sr,0.333333;0.666667,70,70,3,6.0,24
Mo-Ta,0.333333;0.666667,70,70,3,6.0,24
Ge-S,0.5;0.5,70,70,2,4.0,24
Mg-Si,0.666667;0.333333,69,69,3,6.0,24
O-Sc,0.666667;0.333333,69,69,3,12.0,12
Mg-W,0.333333;0.666667,69,69,3,6.0,24
Cr-O,0.4;0.6,69,69,5,10.0,15
Cu-Pt,0.666667;0.333333,69,69,3,6.0,24
Cd-Se,0.5;0.5,69,69,2,4.0,24
Se-Ti,0.666667;0.333333,69,69,3,3.0,24
C-V,0.333333;0.666667,69,69,3,6.0,24
O-Sr,0.666667;0.333333,69,69,3,9.0,12
C-Nb,0.333333;0.666667,69,69,3,6.0,24
Co-O,0.333333;0.666667,69,69,3,9.0,12
O-Y,0.666667;0.333333,69,69,3,9.0,12
Mg-W,0.666667;0.333333,68,68,3,6.0,24
C-Ta,0.333333;0.666667,68,68,3,6.0,24
Cu-Hg,0.333333;0.666667,68,68,3,6.0,24
Mg-Y,0.333333;0.666667,68,68,3,6.0,24
Hf-Mg,0.75;0.25,68,68,4,8.0,24
Pd-Sn,0.666667;0.333333,68,68,3,6.0,24
Te-Ti,0.666667;0.333333,68,68,3,6.0,24
Ni-V,0.666667;0.333333,68,68,3,6.0,24
Fe-O,0.333333;0.666667,68,68,3,10.5,12
Se-Zn,0.5;0.5,68,68,2,2.0,12
La-O,0.333333;0.666667,68,68,3,10.5,12
Mg-O,0.333333;0.666667,68,68,3,12.0,12
Ge-Se,0.333333;0.666667,68,68,3,6.0,48
Mg-Re,0.333333;0.666667,68,68,3,6.0,24
C-Mn,0.666667;0.333333,68,68,3,6.0,24
Mg-Re,0.5;0.5,68,41,2,4.0,8
Co-O,0.5;0.5,68,67,2,3.0,16
Be-Te,0.5;0.5,67,67,2,4.0,24
Mo-Ta,0.666667;0.333333,67,67,3,6.0,24
Co-Fe,0.333333;0.666667,67,67,3,6.0,24
Co-Y,0.666667;0.333333,67,67,3,6.0,24
Co-Fe,0.666667;0.333333,67,67,3,6.0,24
N-Si,0.571429;0.428571,67,67,14,14.0,28
Hf-Pb,0.75;0.25,67,67,4,8.0,24
Na-Pd,0.666667;0.333333,67,45,3,6.0,24
Hf-Mg,0.25;0.75,67,67,4,8.0,24
Mg-Nb,0.5;0.5,67,42,2,4.0,24
B-V,0.666667;0.333333,67,67,3,3.0,24
C-Pt,0.5;0.5,67,67,2,4.0,24
Co-Rh,0.5;0.5,67,67,2,6.0,8
Te-Ti,0.5;0.5,66,66,2,4.0,24
Mg-Y,0.666667;0.333333,66,66,3,6.0,24
Pt-Sr,0.5;0.5,66,48,2,4.0,12
B-Ta,0.666667;0.333333,66,66,3,4.5,24
Hf-Sc,0.75;0.25,66,66,4,8.0,24
Bi-In,0.333333;0.666667,66,66,3,6.0,24
Ni-V,0.333333;0.666667,66,66,3,6.0,24
Mg-Zr,0.666667;0.333333,66,66,3,6.0,24
C-Ti,0.333333;0.666667,66,66,3,6.0,24
Mg-Os,0.5;0.5,66,41,2,4.0,24
Hf-Sn,0.333333;0.666667,66,45,3,6.0,24
Mg-Na,0.666667;0.333333,66,66,3,6.0,24
Se-Ti,0.5;0.5,66,66,2,4.0,24
Cu-Ti,0.5;0.5,66,66,2,4.0,24
Ba-O,0.333333;0.666667,66,66,3,6.0,12
Hf-Tl,0.75;0.25,66,66,4,8.0,24
Mg-Se,0.5;0.5,66,66,2,4.0,24
Ge-S,0.333333;0.666667,65,65,3,6.0,48
C-Ir,0.333333;0.666667,65,65,3,6.0,24
C-Mn,0.333333;0.666667,65,65,3,6.0,24
Cu-Se,0.333333;0.666667,65,65,3,6.0,24
C-Re,0.5;0.5,65,65,2,4.0,24
C-Cr,0.333333;0.666667,65,65,3,6.0,24
Fe-Si,0.5;0.5,65,65,2,4.0,24
Mn-Sb,0.5;0.5,65,65,2,4.0,24
Hf-V,0.333333;0.666667,65,64,3,6.0,24
C-Y,0.333333;0.666667,65,65,3,6.0,24
Mg-Zn,0.666667;0.333333,65,65,3,6.0,24
Ca-O,0.333333;0.666667,65,65,3,12.0,12
C-Ru,0.5;0.5,65,65,2,4.0,24
B-Y,0.666667;0.333333,65,65,3,6.0,24
C-Zr,0.333333;0.666667,65,65,3,6.0,24
C-Hf,0.333333;0.666667,64,64,3,6.0,24
Pd-Pt,0.666667;0.333333,64,64,3,7.5,24
Mg-Zr,0.333333;0.666667,64,64,3,6.0,24
Hg-Ti,0.5;0.5,64,64,2,4.0,24
Pt-Sn,0.333333;0.666667,64,64,3,6.0,24
C-Sc,0.333333;0.666667,64,64,3,6.0,24
Cu-Zn,0.5;0.5,64,64,2,4.0,24
Pt-Sr,0.666667;0.333333,64,64,3,6.0,24
Au-Te,0.333333;0.666667,64,61,3,3.0,24
Ag-C,0.5;0.5,64,64,2,4.0,24
Cd-Hf,0.75;0.25,64,64,4,8.0,24
Na-Pt,0.666667;0.333333,63,43,3,6.0,24
Mn-Te,0.5;0.5,63,63,2,4.0,24
Mg-Rh,0.75;0.25,63,63,4,4.0,24
Cu-S,0.333333;0.666667,63,63,3,6.0,24
Cu-Te,0.5;0.5,63,63,2,4.0,24
Fe-Hf,0.75;0.25,63,63,4,8.0,24
Mg-Os,0.666667;0.333333,63,63,3,6.0,24
N-Zr,0.5;0.5,63,63,2,2.0,16
C-Na,0.5;0.5,63,63,2,4.0,32
Pd-Sn,0.333333;0.666667,63,63,3,6.0,48
Pd-Sr,0.666667;0.333333,63,63,3,6.0,24
Si-V,0.25;0.75,63,63,4,8.0,24
Hf-Tl,0.25;0.75,63,63,4,8.0,24
Be-Cu,0.5;0.5,63,63,2,4.0,24
Cd-Hf,0.25;0.75,63,63,4,8.0,24
Mg-Sn,0.25;0.75,62,62,4,4.0,24
Cu-Ti,0.333333;0.666667,62,62,3,6.0,24
C-Pd,0.5;0.5,62,62,2,4.0,24
Fe-Hf,0.25;0.75,62,62,4,8.0,24
Fe-Ge,0.5;0.5,62,62,2,4.0,24
Ir-V,0.5;0.5,62,62,2,4.0,32
C-K,0.5;0.5,62,62,2,4.0,32
Mg-Sc,0.75;0.25,62,62,4,4.0,24
Ba-C,0.333333;0.666667,62,62,3,6.0,24
Os-Re,0.333333;0.666667,62,62,3,6.0,24
Cu-Te,0.666667;0.333333,62,62,3,6.0,24
Pd-Sr,0.333333;0.666667,62,62,3,6.0,24
N-Nb,0.5;0.5,62,62,2,2.0,16
C-Rh,0.5;0.5,62,62,2,4.0,24
Mn-Se,0.5;0.5,62,62,2,4.0,8
Hf-Pb,0.25;0.75,62,62,4,8.0,24
Mg-Sn,0.75;0.25,62,62,4,4.0,24
Se-Ti,0.333333;0.666667,61,61,3,6.0,36
Se-Si,0.666667;0.333333,61,61,3,6.0,24
Mg-Sc,0.25;0.75,61,61,4,4.0,24
Pt-Sn,0.666667;0.333333,61,61,3,6.0,24
Na-Pd,0.333333;0.666667,61,45,3,6.0,24
Re-Rh,0.333333;0.666667,61,61,3,6.0,24
Hf-Sc,0.25;0.75,61,61,4,8.0,24
C-Sn,0.5;0.5,61,61,2,4.0,24
C-Li,0.5;0.5,61,61,2,4.0,24
Fe-P,0.666667;0.333333,61,61,3,6.0,24
B-Mg,0.666667;0.333333,61,61,3,3.0,24
Pd-Pt,0.333333;0.666667,61,61,3,6.0,24
Cd-Ti,0.5;0.5,61,61,2,4.0,24
Cu-Sn,0.5;0.5,61,61,2,4.0,24
Mg-Rh,0.25;0.75,61,61,4,4.0,24
C-Rb,0.5;0.5,61,61,2,4.0,24
B-Fe,0.333333;0.666667,61,61,3,6.0,24
C-Ge,0.5;0.5,61,61,2,4.0,24
Mg-Na,0.333333;0.666667,61,61,3,6.0,24
In-P,0.5;0.5,61,61,2,4.0,24
Mg-Nb,0.666667;0.333333,61,61,3,6.0,24
C-Tc,0.5;0.5,61,61,2,4.0,24
C-Cd,0.5;0.5,61,61,2,4.0,24
C-I,0.5;0.5,60,60,2,4.0,32
B-Mo,0.666667;0.333333,60,59,3,6.0,24
Au-C,0.5;0.5,60,60,2,4.0,24
C-Tl,0.5;0.5,60,60,2,4.0,24
Mg-Tc,0.5;0.5,60,60,2,4.0,24
Bi-Ir,0.666667;0.333333,60,60,3,6.0,24
Mg-Tc,0.666667;0.333333,60,60,3,6.0,24
B-Nb,0.666667;0.333333,60,60,3,3.0,24
C-Sr,0.666667;0.333333,60,60,3,6.0,24
Ag-Te,0.666667;0.333333,60,60,3,6.0,24
B-Cr,0.5;0.5,60,60,2,4.0,24
Mg-V,0.666667;0.333333,60,60,3,6.0,24
Cu-Se,0.666667;0.333333,60,60,3,6.0,24
Mg-Tc,0.333333;0.666667,60,60,3,6.0,24
Al-Y,0.666667;0.333333,60,60,3,6.0,24
Cu-O,0.5;0.5,60,60,2,4.0,16
Cu-S,0.666667;0.333333,60,60,3,6.0,24
B-Hf,0.75;0.25,60,33,4,4.0,24
Mg-Mo,0.666667;0.333333,60,60,3,6.0,24
C-Ni,0.5;0.5,60,60,2,4.0,24
Bi-Hf,0.333333;0.666667,60,60,3,6.0,24
C-Zn,0.5;0.5,59,59,2,4.0,24
Be-Cu,0.666667;0.333333,59,59,3,6.0,24
Si-Zn,0.5;0.5,59,59,2,4.0,24
Ag-Be,0.5;0.5,59,59,2,4.0,24
Ba-C,0.5;0.5,59,59,2,4.0,24
Se-Si,0.5;0.5,59,59,2,4.0,24
C-Te,0.5;0.5,59,59,2,4.0,24
Ge-Hg,0.5;0.5,59,59,2,4.0,24
Pd-Si,0.666667;0.333333,59,59,3,6.0,24
Ag-Te,0.5;0.5,59,59,2,4.0,24
Cu-Si,0.5;0.5,59,59,2,4.0,24
Cu-Mg,0.333333;0.666667,59,59,3,6.0,24
Pt-Si,0.5;0.5,59,38,2,4.0,24
Cd-Si,0.5;0.5,59,59,2,4.0,24
C-Fe,0.5;0.5,59,59,2,4.0,24
Pd-Sn,0.75;0.25,59,59,4,4.0,24
C-Sb,0.5;0.5,59,59,2,4.0,24
B-C,0.5;0.5,59,59,2,4.0,24
Al-C,0.5;0.5,59,59,2,4.0,24
Cd-Cu,0.5;0.5,59,59,2,4.0,24
C-Co,0.5;0.5,59,59,2,4.0,24
Ca-Cu,0.5;0.5,59,59,2,4.0,40
Mg-Mo,0.333333;0.666667,59,59,3,6.0,24
Be-C,0.5;0.5,59,59,2,4.0,24
Cu-Ge,0.5;0.5,59,59,2,4.0,24
As-C,0.5;0.5,59,59,2,4.0,24
C-Sr,0.5;0.5,59,59,2,4.0,24
C-P,0.5;0.5,59,59,2,4.0,24
C-Hg,0.5;0.5,59,59,2,4.0,24
C-Mg,0.5;0.5,59,59,2,4.0,24
C-Re,0.666667;0.333333,59,59,3,6.0,24
C-Cu,0.5;0.5,59,59,2,4.0,24
Hg-Si,0.5;0.5,59,59,2,4.0,24
Ca-Sn,0.666667;0.333333,59,59,3,6.0,24
Be-C,0.666667;0.333333,59,59,3,6.0,24
Mn-P,0.5;0.5,59,59,2,4.0,24
Cu-Mg,0.5;0.5,59,59,2,4.0,24
Mg-Te,0.333333;0.666667,59,59,3,6.0,24
C-Ca,0.5;0.5,59,59,2,4.0,24
C-Ga,0.5;0.5,59,59,2,4.0,24
Mg-Nb,0.333333;0.666667,59,59,3,6.0,24
Al-Pd,0.5;0.5,59,59,2,4.0,26
Si-Te,0.5;0.5,59,59,2,4.0,24
Cr-Ta,0.666667;0.333333,59,59,3,6.0,24
V-Zr,0.666667;0.333333,59,59,3,6.0,24
B-Cr,0.666667;0.333333,59,58,3,6.0,24
Mg-V,0.5;0.5,59,39,2,4.0,12
Mg-V,0.333333;0.666667,59,59,3,6.0,24
C-Se,0.5;0.5,59,59,2,4.0,24
Cd-Hf,0.625;0.375,58,58,8,8.0,16
Ca-Pt,0.333333;0.666667,58,58,3,6.0,24
Fe-Ti,0.666667;0.333333,58,58,3,6.0,24
C-Fe,0.333333;0.666667,58,58,3,6.0,24
Hf-Ti,0.375;0.625,58,58,8,8.0,16
B-Fe,0.5;0.5,58,58,2,4.0,24
Hf-Sc,0.625;0.375,58,58,8,8.0,16
B-Ta,0.5;0.5,58,58,2,4.0,24
Si-Te,0.333333;0.666667,58,58,3,6.0,24
Ga-P,0.5;0.5,58,58,2,4.0,24
Sn-Te,0.5;0.5,58,58,2,2.0,12
Hf-Mg,0.625;0.375,58,58,8,8.0,16
Hf-Mg,0.375;0.625,58,58,8,8.0,16
Mg-Os,0.333333;0.666667,58,58,3,6.0,24
B-Sm,0.5;0.5,58,58,2,4.0,24
Bi-C,0.5;0.5,58,58,2,4.0,24
Cr-Hf,0.666667;0.333333,58,58,3,6.0,24
Co-Nb,0.666667;0.333333,58,58,3,6.0,24
Fe-Ti,0.5;0.5,58,58,2,4.0,24
Br-C,0.5;0.5,58,58,2,4.0,24
Hf-Zr,0.375;0.625,58,58,8,8.0,16
Cu-Pt,0.333333;0.666667,58,58,3,6.0,24
Bi-Ir,0.333333;0.666667,58,58,3,6.0,24
Hf-Tl,0.625;0.375,58,58,8,8.0,16
N-Ta,0.5;0.5,58,58,2,4.0,16
Mg-Ti,0.75;0.25,58,58,4,4.0,24
Cd-Hf,0.375;0.625,58,58,8,8.0,16
Al-Ti,0.5;0.5,58,58,2,4.0,24
Al-As,0.5;0.5,58,58,2,4.0,24
Bi-In,0.5;0.5,58,58,2,4.0,24
Cd-Cu,0.333333;0.666667,58,58,3,6.0,24
Hf-Zr,0.625;0.375,58,58,8,8.0,16
Ag-Be,0.333333;0.666667,58,58,3,6.0,24
Fe-Si,0.333333;0.666667,58,58,3,6.0,24
Al-Co,0.5;0.5,57,57,2,4.0,24
Hf-Ti,0.625;0.375,57,57,8,8.0,16
B-Y,0.5;0.5,57,57,2,4.0,24
As-Y,0.5;0.5,57,57,2,4.0,24
Cd-Ti,0.333333;0.666667,57,57,3,6.0,24
Hf-Pb,0.625;0.375,57,57,8,8.0,16
Mg-Pb,0.25;0.75,57,57,4,4.0,24
Mn-O,0.5;0.5,57,57,2,4.0,16
Al-Sb,0.5;0.5,57,57,2,4.0,24
Ni-Y,0.666667;0.333333,57,57,3,6.0,24
Cd-Hf,0.666667;0.333333,57,57,3,6.0,24
Bi-Hf,0.666667;0.333333,57,57,3,6.0,24
Mo-N,0.5;0.5,57,57,2,4.0,16
Ag-Mg,0.5;0.5,57,57,2,4.0,24
Mg-Ti,0.25;0.75,57,57,4,4.0,24
Ca-O,0.5;0.5,57,57,2,4.0,16
Co-Ta,0.666667;0.333333,57,57,3,6.0,24
Cu-Ge,0.666667;0.333333,56,56,3,6.0,24
Ag-Te,0.333333;0.666667,56,56,3,6.0,24
N-V,0.5;0.5,56,56,2,2.0,16
Hf-Sc,0.375;0.625,56,56,8,8.0,16
Fe-O,0.5;0.5,56,56,2,4.0,16
As-Ni,0.5;0.5,56,56,2,4.0,24
Bi-Ir,0.5;0.5,56,56,2,4.0,24
Cu-Zn,0.666667;0.333333,56,56,3,6.0,24
As-S,0.5;0.5,56,56,16,32.0,32
Pd-Ti,0.5;0.5,56,56,2,4.0,24
Cu-Si,0.666667;0.333333,56,56,3,6.0,24
Cu-Ti,0.666667;0.333333,56,56,3,6.0,24
Mg-Se,0.666667;0.333333,56,56,3,6.0,24
As-Mn,0.5;0.5,56,56,2,4.0,24
Ir-Te,0.333333;0.666667,56,56,3,6.0,24
Au-Cd,0.5;0.5,56,56,2,4.0,24
Al-Ni,0.5;0.5,56,56,2,4.0,24
Mg-Ru,0.25;0.75,56,56,4,4.0,24
Si-Ta,0.666667;0.333333,56,56,3,6.0,24
Cd-Hf,0.333333;0.666667,56,56,3,6.0,24
O-Y,0.6;0.4,56,56,5,40.0,40
Mg-Ru,0.75;0.25,56,56,4,4.0,24
La-Ru,0.333333;0.666667,56,56,3,6.0,24
Cu-Te,0.333333;0.666667,56,56,3,6.0,24
Cu-Sn,0.666667;0.333333,56,56,3,6.0,24
Ca-Pt,0.5;0.5,56,56,2,4.0,12
Al-Rh,0.333333;0.666667,56,56,3,6.0,24
C-Os,0.666667;0.333333,56,56,3,6.0,24
Ni-Si,0.5;0.5,56,56,2,4.0,24
Mg-Te,0.666667;0.333333,56,56,3,6.0,24
Hg-Mn,0.5;0.5,56,56,2,4.0,12
